source_doc,order_index,text_preview,label_suggestion,font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element
Copy of style_aware_01.docx,24,Component network architecture model consequently principle however consequently,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,96,0.2087,0,0,0
Copy of style_aware_01.docx,25,Accuracy technique output output method principle result design additionally com,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,85,0.2174,0,0,0
Copy of style_aware_01.docx,26,Framework structure quality theory study sample feature performance additionally,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,46,0.2261,0,0,0
Copy of style_aware_01.docx,27,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2348,9,0,1
Copy of style_aware_01.docx,28,Table 21: Summary of Data Structures and Algorithms metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2435,5,0,0
Copy of style_aware_01.docx,29,2.2 Behavioral Economics,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.2522,2,0,0
Copy of style_aware_01.docx,30,Study data efficiency accuracy architecture implementation framework consequentl,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.2609,0,0,0
Copy of style_aware_01.docx,31,Value technique performance input strategy system system module feature standard,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,101,0.2696,0,0,0
Copy of style_aware_01.docx,32,Structure analysis system result accuracy result evaluation theory approach inte,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,58,0.2783,0,0,0
Copy of style_aware_01.docx,33,Input analysis quality however standard technique performance application. Frame,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,32,0.287,0,0,0
Copy of style_aware_01.docx,34,1. Method performance significant result.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.2957,6,0,0
Copy of style_aware_01.docx,35,2. Analysis theory efficiency however development.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.3043,6,0,0
Copy of style_aware_01.docx,36,3. Input framework theory standard significant.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.313,6,0,0
Copy of style_aware_01.docx,37,4. Training additionally module subsequent approach sample sample accuracy archi,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.3217,6,0,0
Copy of style_aware_01.docx,38,5. Implementation performance additionally performance value development.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.3304,6,0,0
Copy of style_aware_01.docx,39,6. Function training training design sample.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.3391,6,0,0
Copy of style_aware_01.docx,40,2.3 Sustainable Agriculture,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.3478,2,0,0
Copy of style_aware_01.docx,41,Concept performance training network component input relevant analysis relevant.,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.3565,0,0,0
Copy of style_aware_01.docx,42,Concept subsequent interface design important module result relevant structure. ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,74,0.3652,0,0,0
Copy of style_aware_01.docx,43,Important input significant concept significant value quality function architect,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,88,0.3739,0,0,0
Copy of style_aware_01.docx,44,Therefore input method evaluation significant performance structure research sig,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.3826,0,0,0
Copy of style_aware_01.docx,45,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.3913,9,0,1
Copy of style_aware_01.docx,46,Table 23: Summary of Space Exploration metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.4,5,0,0
Copy of style_aware_01.docx,47,Chapter 3: Space Exploration,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.4087,1,0,0
Copy of style_aware_01.docx,48,3.1 Behavioral Economics,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.4174,2,0,0
Copy of style_aware_01.docx,49,Efficiency input significant relevant process model data system architecture eva,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,39,0.4261,0,0,0
Copy of style_aware_01.docx,50,Interface evaluation strategy relevant principle development strategy component ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.4348,0,0,0
Copy of style_aware_01.docx,51,However module system technique application additionally standard result additio,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.4435,0,0,0
Copy of style_aware_01.docx,52,Value technique study strategy training technique important furthermore subseque,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,48,0.4522,0,0,0
Copy of style_aware_01.docx,53,Module subsequent method however technique analysis training output output appro,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.4609,0,0,0
Copy of style_aware_01.docx,54,Figure 31: Illustration of Data Structures and Algorithms,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,8,0.4696,5,0,0
Copy of style_aware_01.docx,55,3.2 Urban Planning,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.4783,2,0,0
Copy of style_aware_01.docx,56,Efficiency analysis efficiency furthermore function efficiency principle evaluat,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.487,0,0,0
Copy of style_aware_01.docx,57,Input standard framework module strategy furthermore strategy relevant process e,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,86,0.4957,0,0,0
Copy of style_aware_01.docx,58,Furthermore architecture principle additionally relevant theory input subsequent,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,55,0.5043,0,0,0
Copy of style_aware_01.docx,59,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.513,9,0,1
Copy of style_aware_01.docx,60,Table 32: Summary of Sustainable Agriculture metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.5217,5,0,0
Copy of style_aware_01.docx,61,1. Model important implementation component study theory additionally standard.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.5304,6,0,0
Copy of style_aware_01.docx,62,2. Consequently function concept network approach.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.5391,6,0,0
Copy of style_aware_01.docx,63,3. Significant evaluation important data performance accuracy technique concept ,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.5478,6,0,0
Copy of style_aware_01.docx,64,4. Method theory theory important.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.5565,6,0,0
Copy of style_aware_01.docx,65,5. Consequently evaluation principle performance analysis input feature addition,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.5652,6,0,0
Copy of style_aware_01.docx,66,6. Input concept standard output structure framework method important.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.5739,6,0,0
Copy of style_aware_01.docx,67,3.3 Quantum Computing Basics,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,4,0.5826,2,0,0
Copy of style_aware_01.docx,68,Design evaluation subsequent important theory standard sample interface relevant,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,84,0.5913,0,0,0
Copy of style_aware_01.docx,69,Input framework quality efficiency interface data quality standard design furthe,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,72,0.6,0,0,0
Copy of style_aware_01.docx,70,Accuracy network evaluation output relevant efficiency approach study value rese,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,63,0.6087,0,0,0
Copy of style_aware_01.docx,71,Function theory process research model application architecture relevant princip,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.6174,0,0,0
Copy of style_aware_01.docx,72,Important interface however efficiency standard subsequent performance data howe,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,37,0.6261,0,0,0
Copy of style_aware_01.docx,73,Technique development accuracy architecture study sample accuracy data significa,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.6348,0,0,0
Copy of style_aware_01.docx,74,Figure 33: Illustration of Quantum Computing Basics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.6435,5,0,0
Copy of style_aware_01.docx,75,1. Furthermore sample implementation architecture architecture evaluation concep,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.6522,6,0,0
Copy of style_aware_01.docx,76,2. Efficiency implementation analysis implementation.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.6609,6,0,0
Copy of style_aware_01.docx,77,3. Standard result design research strategy model evaluation accuracy component.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.6696,6,0,0
Copy of style_aware_01.docx,78,4. Model analysis process output architecture efficiency principle architecture.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.6783,6,0,0
Copy of style_aware_01.docx,79,Chapter 4: Ancient Civilizations,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.687,1,0,0
Copy of style_aware_01.docx,80,4.1 Sustainable Agriculture,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.6957,2,0,0
Copy of style_aware_01.docx,81,Study value function technique result model data process. Implementation however,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.7043,0,0,0
Copy of style_aware_01.docx,82,Approach implementation quality technique structure development training design ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.713,0,0,0
Copy of style_aware_01.docx,83,Quality sample approach performance value implementation application performance,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.7217,0,0,0
Copy of style_aware_01.docx,84,Feature value system method furthermore therefore component theory therefore dat,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,51,0.7304,0,0,0
Copy of style_aware_01.docx,85,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.7391,9,0,1
Copy of style_aware_01.docx,86,Table 41: Summary of Neural Networks metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.7478,5,0,0
Copy of style_aware_01.docx,87,Figure 41: Illustration of Quantum Computing Basics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.7565,5,0,0
Copy of style_aware_01.docx,88,4.2 Quantum Computing Basics,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,4,0.7652,2,0,0
Copy of style_aware_01.docx,89,Feature performance interface model model analysis furthermore additionally valu,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,40,0.7739,0,0,0
Copy of style_aware_01.docx,90,Structure model important technique furthermore theory strategy strategy compone,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,66,0.7826,0,0,0
Copy of style_aware_01.docx,91,Approach feature evaluation relevant structure approach data strategy network ac,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,44,0.7913,0,0,0
Copy of style_aware_01.docx,92,Model training study input value network module technique principle concept syst,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,75,0.8,0,0,0
Copy of style_aware_01.docx,93,4.3 Cognitive Psychology,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.8087,2,0,0
Copy of style_aware_01.docx,94,Concept component interface strategy technique relevant research system addition,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.8174,0,0,0
Copy of style_aware_01.docx,95,Efficiency concept development significant principle study furthermore component,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,46,0.8261,0,0,0
Copy of style_aware_01.docx,96,However furthermore interface system feature concept analysis principle system s,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,36,0.8348,0,0,0
Copy of style_aware_01.docx,97,Data relevant system consequently principle research design however training eva,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,100,0.8435,0,0,0
Copy of style_aware_01.docx,98,Standard training structure implementation evaluation output therefore concept t,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.8522,0,0,0
Copy of style_aware_01.docx,99,1. Strategy therefore input however consequently process.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.8609,6,0,0
Copy of style_aware_01.docx,100,2. Process strategy structure application value feature design.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.8696,6,0,0
Copy of style_aware_01.docx,101,3. Additionally process interface feature important important function.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.8783,6,0,0
Copy of style_aware_01.docx,102,4.4 Sustainable Agriculture,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.887,2,0,0
Copy of style_aware_01.docx,103,However component performance application subsequent consequently architecture e,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.8957,0,0,0
Copy of style_aware_01.docx,104,However training system network furthermore development framework relevant evalu,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,61,0.9043,0,0,0
Copy of style_aware_01.docx,105,Analysis relevant efficiency application efficiency value module research system,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,80,0.913,0,0,0
Copy of style_aware_01.docx,106,Process significant network application design sample method subsequent. Network,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.9217,0,0,0
Copy of style_aware_01.docx,107,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.9304,9,0,1
Copy of style_aware_01.docx,108,Table 44: Summary of Marine Biology metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.9391,5,0,0
Copy of style_aware_01.docx,109,References,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.9478,1,0,0
Copy of style_aware_01.docx,110,"[1] Dr. A. Sharma, ""Urban Planning"", Journal of Urban Planning, 2015.",Reference,10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9565,0,0,0
Copy of style_aware_01.docx,111,"[2] L. Fontaine, ""Data Structures and Algorithms"", Journal of Cognitive Psycholo",Reference,10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,12,0.9652,0,0,0
Copy of style_aware_01.docx,112,"[3] Prof. J. Alvarez, ""Renaissance Art"", Journal of Urban Planning, 2024.",Reference,10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9739,0,0,0
Copy of style_aware_01.docx,113,"[4] Dr. M. Chen, ""Urban Planning"", Journal of Behavioral Economics, 2016.",Reference,10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9826,0,0,0
Copy of style_aware_01.docx,114,"[5] Prof. J. Alvarez, ""Space Exploration"", Journal of Cognitive Psychology, 2022",Reference,10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9913,0,0,0
Copy of style_aware_02.docx,0,Renaissance Art: A Comprehensive Study,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,5,0.0,4,0,0
Copy of style_aware_02.docx,1,L. Fontaine,Body Paragraph,13.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0066,0,0,0
Copy of style_aware_02.docx,2,Chapter 1: Sustainable Agriculture,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.0132,1,0,0
Copy of style_aware_02.docx,3,1.1 Neural Networks,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0197,2,0,0
Copy of style_aware_02.docx,4,Training architecture development concept performance approach input function va,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.0263,0,0,0
Copy of style_aware_02.docx,5,Standard feature approach however framework application result significant value,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,92,0.0329,0,0,0
Copy of style_aware_02.docx,6,Principle significant process output structure implementation therefore standard,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.0395,0,0,0
Copy of style_aware_02.docx,7,Study data however study subsequent research quality network implementation trai,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,76,0.0461,0,0,0
Copy of style_aware_02.docx,8,Therefore framework system value accuracy module relevant system important resea,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,108,0.0526,0,0,0
Copy of style_aware_02.docx,9,Component model evaluation however training development efficiency output import,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,49,0.0592,0,0,0
Copy of style_aware_02.docx,10,1. Feature sample result study system efficiency training structure research con,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.0658,6,0,0
Copy of style_aware_02.docx,11,2. Strategy development output principle data output additionally implementation,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.0724,6,0,0
Copy of style_aware_02.docx,12,3. Development function application framework.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0789,6,0,0
Copy of style_aware_02.docx,13,4. Consequently model approach design system framework.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.0855,6,0,0
Copy of style_aware_02.docx,14,1.2 Urban Planning,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0921,2,0,0
Copy of style_aware_02.docx,15,Analysis structure standard consequently concept result theory study relevant su,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,80,0.0987,0,0,0
Copy of style_aware_02.docx,16,Application research module theory technique design technique technique theory d,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,81,0.1053,0,0,0
Copy of style_aware_02.docx,17,Component structure implementation training consequently function design subsequ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,86,0.1118,0,0,0
Copy of style_aware_02.docx,18,Process however sample theory application relevant strategy performance evaluati,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.1184,0,0,0
Copy of style_aware_02.docx,19,Figure 12: Illustration of Neural Networks,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,6,0.125,5,0,0
Copy of style_aware_02.docx,20,1. Research technique performance subsequent.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.1316,6,0,0
Copy of style_aware_02.docx,21,2. Feature interface concept network theory consequently data feature feature tr,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.1382,6,0,0
Copy of style_aware_02.docx,22,3. Technique application module performance feature value framework data output ,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.1447,6,0,0
Copy of style_aware_02.docx,23,4. Implementation standard subsequent efficiency however principle design implem,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.1513,6,0,0
Copy of style_aware_02.docx,24,5. Standard however interface subsequent data.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.1579,6,0,0
Copy of style_aware_02.docx,25,1.3 Cognitive Psychology,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.1645,2,0,0
Copy of style_aware_02.docx,26,Method theory architecture research process accuracy input development sample va,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.1711,0,0,0
Copy of style_aware_02.docx,27,Analysis value result data theory input subsequent performance however developme,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,35,0.1776,0,0,0
Copy of style_aware_02.docx,28,Design relevant sample input relevant module furthermore result value standard d,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,66,0.1842,0,0,0
Copy of style_aware_02.docx,29,Therefore interface standard analysis additionally interface approach structure ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,61,0.1908,0,0,0
Copy of style_aware_02.docx,30,Training therefore module network training analysis system analysis data efficie,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.1974,0,0,0
Copy of style_aware_02.docx,31,R0C0 | R0C1 | R0C2 | R1C0 | R1C1 | R1C2,Table,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2039,9,0,1
Copy of style_aware_02.docx,32,Table 13: Summary of Ancient Civilizations metrics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.2105,5,0,0
Copy of style_aware_02.docx,33,1. Theory process result training design therefore network.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.2171,6,0,0
Copy of style_aware_02.docx,34,2. Structure design evaluation framework output value input consequently study.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2237,6,0,0
Copy of style_aware_02.docx,35,3. Method system quality process efficiency component study method strategy.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2303,6,0,0
Copy of style_aware_02.docx,36,4. Method value important data implementation theory result relevant however.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2368,6,0,0
Copy of style_aware_02.docx,37,5. Principle structure efficiency consequently additionally efficiency.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.2434,6,0,0
Copy of style_aware_02.docx,38,Chapter 2: Cognitive Psychology,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.25,1,0,0
Copy of style_aware_02.docx,39,2.1 Space Exploration,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.2566,2,0,0
